Date,Total to date,New in last 24 hours,Total confirmed and probable cases,New confirmed and probable cases,Total of Recovered,New Recovered,Total of deaths,New deaths,Total,Total population(million - 2017)
26/02/2020,0,0,,,,,0,0,1154,4.794
27/02/2020,0,0,,,,,0,0,,
28/02/2020,1,1,,,,,0,0,,
29/02/2020,1,0,,,,,0,0,,
1/03/2020,1,0,,,,,0,0,,
2/03/2020,1,0,,,,,0,0,,
3/03/2020,1,0,,,,,0,0,,
4/03/2020,2,1,,,,,0,0,,
5/03/2020,3,1,,,,,0,0,,
6/03/2020,4,1,,,,,0,0,,
7/03/2020,5,1,,,,,0,0,,
8/03/2020,5,0,,0,,,0,0,,
9/03/2020,5,0,,0,,,0,0,,
10/03/2020,5,0,7,2,,,0,0,,
11/03/2020,5,0,7,2,1,1,0,0,,
12/03/2020,5,0,,0,,,0,0,,
13/03/2020,5,0,,0,,,0,0,,
14/03/2020,6,1,,,,,0,0,,
15/03/2020,8,2,,,,,0,0,,
16/03/2020,8,0,,,,,0,0,,
17/03/2020,12,4,,,,,0,0,,
18/03/2020,20,8,,,,,0,0,,
19/03/2020,28,8,,,,,0,0,,
20/03/2020,39,11,,,,,0,0,,
21/03/2020,53,14,57,18,,,0,0,,
22/03/2020,66,13,,,,,0,0,,
23/03/2020,102,36,,,,,0,0,,
24/03/2020,142,40,,,,,0,0,,
25/03/2020,189,47,,,,,0,0,,
26/03/2020,262,73,,,,,0,0,,
27/03/2020,338,76,,,,,0,0,,
28/03/2020,416,78,,,50,,0,0,,
29/03/2020,476,60,514,63,56,6,1,1,,
30/03/2020,552,76,589,75,63,6,1,0,,
31/03/2020,600,48,647,58,74,11,1,0,,
1/04/2020,647,47,708,61,82,8,1,0,,
2/04/2020,723,76,797,89,92,10,1,0,,
3/04/2020,772,49,868,71,103,11,1,0,,
4/04/2020,824,52,950,82,127,24,1,0,,
5/04/2020,872,48,1039,89,156,29,1,0,,
6/04/2020,911,39,1106,67,176,20,1,0,,
7/04/2020,943,32,1160,54,241,65,1,0,,
8/04/2020,969,26,1210,50,282,41,1,0,,
9/04/2020,992,23,1239,29,317,35,1,0,,
10/04/2020,1015,23,1283,44,373,56,2,1,,
11/04/2020,1035,20,1312,29,422,49,4,2,,
12/04/2020,1049,14,1330,18,471,49,4,0,,
13/04/2020,1064,15,1349,19,546,75,5,1,,
14/04/2020,1072,8,1366,17,628,82,9,4,,
15/04/2020,1078,6,1386,20,728,100,9,0,,
16/04/2020,1084,6,1401,15,770,42,9,0,,
17/04/2020,1086,2,1409,8,816,46,11,2,,
18/04/2020,1094,8,1422,13,867,51,11,0,,
19/04/2020,1098,4,1431,9,912,45,11,0,,
20/04/2020,1105,7,1440,9,974,62,12,1,,
21/04/2020,1107,2,1445,5,1006,32,13,1,,
22/04/2020,1113,6,1451,6,1036,30,14,1,,
23/04/2020,1112,-1,1451,0,1065,29,16,2,,
24/04/2020,1114,2,1456,5,1095,30,17,1,,
25/04/2020,1117,3,1461,5,1118,23,18,1,,
26/04/2020,1121,4,1470,9,1142,24,18,0,,
27/04/2020,1122,1,1469,-1,1180,38,19,1,,
28/04/2020,1124,2,1472,3,1214,34,19,0,,
29/04/2020,1126,2,1474,2,1229,15,19,0,,
30/04/2020,1129,3,1476,2,1241,12,19,0,,
1/05/2020,1132,3,1479,3,1252,11,19,0,,
2/05/2020,1134,2,1485,6,1263,11,20,1,,
3/05/2020,1136,2,1487,2,1266,3,20,0,,
4/05/2020,1137,1,1486,0,1276,10,20,0,,
5/05/2020,1137,0,1486,-1,1302,26,20,0,,
6/05/2020,1138,1,1488,2,1316,14,21,1,,
7/05/2020,1139,1,1489,1,1332,16,21,0,,
8/05/2020,1141,2,1490,1,1347,15,21,0,,
9/05/2020,1142,1,1492,2,1368,21,21,0,,
10/05/2020,1144,2,1494,2,1371,3,21,0,,
11/05/2020,1147,3,1497,3,1386,15,21,0,,
12/05/2020,1147,0,1497,0,1398,12,21,0,,
13/05/2020,1147,0,1497,0,1402,4,21,0,,
14/05/2020,1147,0,1497,0,1411,9,21,0,,
15/05/2020,1148,1,1498,1,1421,10,21,0,,
16/05/2020,1148,0,1498,0,1428,7,21,0,,
17/05/2020,1149,1,1499,1,1433,5,21,0,,
18/05/2020,1149,0,1499,0,1433,0,21,0,,
19/05/2020,1153,4,1503,4,1442,9,21,0,,
20/05/2020,1153,0,1503,0,1447,5,21,0,,
21/05/2020,1153,0,1503,0,1452,5,21,0,,
22/05/2020,1154,1,1504,1,1455,3,21,0,,
23/05/2020,1154,0,1504,0,1455,0,21,0,,
24/05/2020,1154,0,1504,0,1456,1,21,0,,
25/05/2020,1154,0,1504,0,1456,0,21,0,,
26/05/2020,1154,0,1504,0,1461,5,21,0,,
27/05/2020,,,,,,,,,,
28/05/2020,,,,,,,,,,
29/05/2020,,,,,,,,,,
30/05/2020,,,,,,,,,,
31/05/2020,,,,,,,,,,
1/06/2020,,,,,,,,,,
